2theta,Intensity
17.98,51.3333
18,54
18.02,54.6667
18.04,56
18.06,56
18.08,45.3333
18.1,38.6667
18.12,31.3333
18.14,24.6667
18.16,15.3333
18.18,12.6667
18.2,10
18.22,12
18.24,12.6667
18.26,10
18.28,10
18.3,9.33333
18.32,9.33333
18.34,8.66667
18.36,9.33333
18.38,9.33333
18.4,6
18.42,6.66667
18.44,8.66667
18.46,6.66667
18.48,6
18.5,6.66667
18.52,8.66667
18.54,6.66667
18.56,4.66667
18.58,6.66667
18.6,6.66667
18.62,6
18.64,6.66667
18.66,6
18.68,7.33333
18.7,6
18.72,4.66667
18.74,8
18.76,7.33333
18.78,8.66667
18.8,10.6667
18.82,8.66667
18.84,6.66667
18.86,7.33333
18.88,5.33333
18.9,4.66667
18.92,4
18.94,4.66667
18.96,4.66667
18.98,5.33333
19,8.66667
19.02,6
19.04,7.33333
19.06,8.66667
19.08,9.33333
19.1,8
19.12,5.33333
19.14,4.66667
19.16,6
19.18,8
19.2,7.33333
19.22,4.66667
19.24,4
19.26,4.66667
19.28,4.66667
19.3,8.66667
19.32,7.33333
19.34,5.33333
19.36,4
19.38,5.33333
19.4,6
19.42,4
19.44,4
19.46,4
19.48,5.33333
19.5,8
19.52,8
19.54,6
19.56,5.33333
19.58,7.33333
19.6,6.66667
19.62,4.66667
19.64,4
19.66,6
19.68,6
19.7,4.66667
19.72,7.33333
19.74,8.66667
19.76,6.66667
19.78,4
19.8,5.33333
19.82,5.33333
19.84,9.33333
19.86,8.66667
19.88,6
19.9,7.33333
19.92,6.66667
19.94,4.66667
19.96,5.33333
19.98,6
20,6.66667
20.02,7.33333
20.04,6
20.06,5.33333
20.08,5.33333
20.1,8
20.12,6.66667
20.14,3.33333
20.16,4
20.18,6
20.2,6
20.22,5.33333
20.24,4
20.26,4.66667
20.28,4.66667
20.3,7.33333
20.32,8.66667
20.34,6.66667
20.36,4.66667
20.38,6.66667
20.4,8.66667
20.42,6.66667
20.44,7.33333
20.46,7.33333
20.48,4.66667
20.5,4.66667
20.52,5.33333
20.54,6.66667
20.56,8
20.58,6.66667
20.6,7.33333
20.62,7.33333
20.64,6.66667
20.66,9.33333
20.68,10
20.7,10.6667
20.72,16
20.74,16
20.76,10.6667
20.78,12
20.8,14
20.82,10
20.84,7.33333
20.86,7.33333
20.88,7.33333
20.9,5.33333
20.92,4.66667
20.94,5.33333
20.96,5.33333
20.98,4.66667
21,4.66667
21.02,4.66667
21.04,5.33333
21.06,4
21.08,6
21.1,9.33333
21.12,8
21.14,5.33333
21.16,4.66667
21.18,4
21.2,6
21.22,8.66667
21.24,6
21.26,6
21.28,6.66667
21.3,5.33333
21.32,8
21.34,8
21.36,7.33333
21.38,9.33333
21.4,9.33333
21.42,7.33333
21.44,6
21.46,6.66667
21.48,6
21.5,6
21.52,5.33333
21.54,8
21.56,8
21.58,4.66667
21.6,5.33333
21.62,7.33333
21.64,6
21.66,4.66667
21.68,5.33333
21.7,6
21.72,5.33333
21.74,6
21.76,8
21.78,8
21.8,6.66667
21.82,9.33333
21.84,9.33333
21.86,8.66667
21.88,9.33333
21.9,8.66667
21.92,8
21.94,8
21.96,8
21.98,6.66667
22,6
22.02,6.66667
22.04,10
22.06,12
22.08,12
22.1,14.6667
22.12,20
22.14,19.3333
22.16,18.6667
22.18,19.3333
22.2,21.3333
22.22,18.6667
22.24,17.3333
22.26,19.3333
22.28,18
22.3,16
22.32,18.6667
22.34,21.3333
22.36,20
22.38,21.3333
22.4,26.6667
22.42,26.6667
22.44,24
22.46,28
22.48,19.3333
22.5,16
22.52,14.6667
22.54,10
22.56,8
22.58,12
22.6,14
22.62,15.3333
22.64,16
22.66,19.3333
22.68,24.6667
22.7,33.3333
22.72,40
22.74,48.6667
22.76,45.3333
22.78,45.3333
22.8,52.6667
22.82,54.6667
22.84,49.3333
22.86,45.3333
22.88,40.6667
22.9,42
22.92,44
22.94,38
22.96,30.6667
22.98,33.3333
23,26
23.02,18
23.04,9.33333
23.06,12
23.08,9.33333
23.1,10
23.12,10
23.14,9.33333
23.16,11.3333
23.18,7.33333
23.2,8.66667
23.22,10
23.24,9.33333
23.26,8.66667
23.28,5.33333
23.3,6.66667
23.32,6.66667
23.34,6
23.36,6
23.38,6
23.4,6.66667
23.42,8
23.44,4.66667
23.46,5.33333
23.48,8
23.5,7.33333
23.52,7.33333
23.54,6
23.56,6.66667
23.58,7.33333
23.6,7.33333
23.62,6
23.64,7.33333
23.66,9.33333
23.68,7.33333
23.7,10.6667
23.72,16
23.74,12
23.76,10.6667
23.78,12.6667
23.8,12.6667
23.82,12.6667
23.84,8.66667
23.86,10
23.88,6.66667
23.9,6
23.92,6
23.94,6
23.96,6
23.98,8.66667
24,9.33333
24.02,3.33333
24.04,5.33333
24.06,8
24.08,6
24.1,7.33333
24.12,10
24.14,9.33333
24.16,9.33333
24.18,15.3333
24.2,12
24.22,11.3333
24.24,10.6667
24.26,13.3333
24.28,16
24.3,11.3333
24.32,8.66667
24.34,11.3333
24.36,16
24.38,18
24.4,17.3333
24.42,14.6667
24.44,11.3333
24.46,13.3333
24.48,9.33333
24.5,9.33333
24.52,12.6667
24.54,18.6667
24.56,12
24.58,13.3333
24.6,14.6667
24.62,13.3333
24.64,14
24.66,18.6667
24.68,17.3333
24.7,18
24.72,18.6667
24.74,21.3333
24.76,20
24.78,15.3333
24.8,12.6667
24.82,8.66667
24.84,7.33333
24.86,8.66667
24.88,8
24.9,7.33333
24.92,8.66667
24.94,7.33333
24.96,9.33333
24.98,6
25,5.33333
25.02,4
25.04,5.33333
25.06,6.66667
25.08,6
25.1,10
25.12,8.66667
25.14,9.33333
25.16,4.66667
25.18,10
25.2,8
25.22,9.33333
25.24,12
25.26,10.6667
25.28,9.33333
25.3,11.3333
25.32,12
25.34,14.6667
25.36,15.3333
25.38,20
25.4,22.6667
25.42,32
25.44,34
25.46,27.3333
25.48,33.3333
25.5,34.6667
25.52,40.6667
25.54,36.6667
25.56,32.6667
25.58,42
25.6,34
25.62,26.6667
25.64,28.6667
25.66,30
25.68,24.6667
25.7,19.3333
25.72,21.3333
25.74,20
25.76,18.6667
25.78,24.6667
25.8,35.3333
25.82,32.6667
25.84,35.3333
25.86,45.3333
25.88,40.6667
25.9,33.3333
25.92,30.6667
25.94,22
25.96,20.6667
25.98,15.3333
26,23.3333
26.02,20.6667
26.04,11.3333
26.06,14
26.08,10.6667
26.1,15.3333
26.12,20.6667
26.14,21.3333
26.16,18
26.18,12.6667
26.2,22
26.22,13.3333
26.24,14
26.26,9.33333
26.28,12
26.3,7.33333
26.32,11.3333
26.34,10
26.36,10.6667
26.38,10.6667
26.4,8.66667
26.42,4.66667
26.44,12
26.46,14.6667
26.48,9.33333
26.5,7.33333
26.52,10
26.54,10.6667
26.56,11.3333
26.58,16
26.6,15.3333
26.62,16
26.64,23.3333
26.66,18.6667
26.68,24
26.7,26
26.72,38
26.74,42
26.76,47.3333
26.78,40.6667
26.8,43.3333
26.82,44
26.84,30.6667
26.86,23.3333
26.88,20
26.9,14.6667
26.92,14
26.94,10.6667
26.96,13.3333
26.98,8
27,9.33333
27.02,6.66667
27.04,8
27.06,8.66667
27.08,8
27.1,8
27.12,6
27.14,11.3333
27.16,6
27.18,8.66667
27.2,10
27.22,5.33333
27.24,8
27.26,8.66667
27.28,14
27.3,12
27.32,9.33333
27.34,8
27.36,6
27.38,18
27.4,11.3333
27.42,10
27.44,7.33333
27.46,12
27.48,19.3333
27.5,19.3333
27.52,15.3333
27.54,21.3333
27.56,17.3333
27.58,24
27.6,22.6667
27.62,33.3333
27.64,45.3333
27.66,54
27.68,58.6667
27.7,48.6667
27.72,66.6667
27.74,60.6667
27.76,54.6667
27.78,42.6667
27.8,31.3333
27.82,29.3333
27.84,18
27.86,24
27.88,19.3333
27.9,13.3333
