2theta,Intensity
18.08,140
18.1,152
18.12,168
18.14,181.333
18.16,192
18.18,205.333
18.2,196.667
18.22,178
18.24,174
18.26,140.667
18.28,114.667
18.3,84
18.32,56
18.34,32.6667
18.36,26
18.38,20.6667
18.4,16
18.42,18
18.44,17.3333
18.46,14.6667
18.48,14.6667
18.5,14
18.52,12
18.54,12.6667
18.56,13.3333
18.58,10
18.6,10
18.62,10.6667
18.64,12.6667
18.66,13.3333
18.68,11.3333
18.7,11.3333
18.72,12
18.74,11.3333
18.76,10
18.78,12.6667
18.8,12.6667
18.82,12.6667
18.84,10.6667
18.86,8.66667
18.88,12
18.9,12
18.92,13.3333
18.94,10
18.96,10
18.98,10
19,7.33333
19.02,6
19.04,8.66667
19.06,8
19.08,7.33333
19.1,9.33333
19.12,7.33333
19.14,7.33333
19.16,9.33333
19.18,10
19.2,9.33333
19.22,8
19.24,7.33333
19.26,8
19.28,8.66667
19.3,7.33333
19.32,10.6667
19.34,9.33333
19.36,8.66667
19.38,10
19.4,12
19.42,9.33333
19.44,6
19.46,6
19.48,11.3333
19.5,12.6667
19.52,8
19.54,7.33333
19.56,8
19.58,8.66667
19.6,9.33333
19.62,9.33333
19.64,10.6667
19.66,8.66667
19.68,6
19.7,8
19.72,10.6667
19.74,12
19.76,8.66667
19.78,8
19.8,10
19.82,9.33333
19.84,10
19.86,9.33333
19.88,8
19.9,8
19.92,6.66667
19.94,6
19.96,7.33333
19.98,8
20,7.33333
20.02,8
20.04,8
20.06,6
20.08,6.66667
20.1,8
20.12,6.66667
20.14,7.33333
20.16,8
20.18,10
20.2,9.33333
20.22,6.66667
20.24,8
20.26,9.33333
20.28,9.33333
20.3,7.33333
20.32,6
20.34,6
20.36,6
20.38,7.33333
20.4,9.33333
20.42,9.33333
20.44,8
20.46,8.66667
20.48,8.66667
20.5,8
20.52,6.66667
20.54,7.33333
20.56,6
20.58,8
20.6,12
20.62,8.66667
20.64,8
20.66,10.6667
20.68,8.66667
20.7,7.33333
20.72,8
20.74,6.66667
20.76,6
20.78,5.33333
20.8,6.66667
20.82,7.33333
20.84,9.33333
20.86,11.3333
20.88,10
20.9,9.33333
20.92,9.33333
20.94,8.66667
20.96,8
20.98,7.33333
21,10
21.02,14
21.04,12.6667
21.06,9.33333
21.08,6.66667
21.1,6.66667
21.12,7.33333
21.14,10
21.16,10.6667
21.18,6.66667
21.2,6
21.22,10
