2theta,Intensity
17.9,116.667
17.92,124
17.94,118
17.96,94.6667
17.98,82.6667
18,63.3333
18.02,55.3333
18.04,39.3333
18.06,29.3333
18.08,27.3333
18.1,22
18.12,23.3333
18.14,18.6667
18.16,16
18.18,16
18.2,14.6667
18.22,13.3333
18.24,12
18.26,12
18.28,11.3333
18.3,12
18.32,15.3333
18.34,9.33333
18.36,12.6667
18.38,13.3333
18.4,8.66667
18.42,14.6667
18.44,11.3333
18.46,11.3333
18.48,10.6667
18.5,10
18.52,8
18.54,11.3333
18.56,14.6667
18.58,11.3333
18.6,11.3333
18.62,12
18.64,15.3333
18.66,15.3333
18.68,14
18.7,12.6667
18.72,13.3333
18.74,16.6667
18.76,20
18.78,23.3333
18.8,28
18.82,32
18.84,34.6667
18.86,36
18.88,44
18.9,48.6667
18.92,65.3333
18.94,89.3333
18.96,110
18.98,128
19,154
19.02,198.667
19.04,246.667
19.06,270
19.08,280
19.1,300.667
19.12,286.667
19.14,254.667
19.16,212
19.18,166.667
19.2,112
19.22,77.3333
19.24,58
19.26,50.6667
19.28,56
19.3,65.3333
19.32,68.6667
19.34,78
19.36,89.3333
19.38,106.667
19.4,128.667
19.42,144
19.44,155.333
19.46,169.333
19.48,171.333
19.5,170.667
19.52,160.667
19.54,128.667
19.56,92
19.58,65.3333
19.6,46
19.62,34
19.64,28.6667
19.66,26.6667
19.68,24
19.7,24
19.72,18
19.74,14
19.76,16.6667
19.78,16.6667
19.8,12
19.82,12.6667
19.84,17.3333
19.86,17.3333
19.88,16.6667
19.9,12
19.92,12.6667
19.94,15.3333
19.96,14
19.98,16
20,15.3333
20.02,14.6667
20.04,18
20.06,16
20.08,12
20.1,13.3333
20.12,14.6667
20.14,12.6667
20.16,13.3333
20.18,15.3333
20.2,14.6667
20.22,13.3333
20.24,16
20.26,16.6667
20.28,18
20.3,22.6667
20.32,24.6667
20.34,21.3333
20.36,26
20.38,36
20.4,34.6667
20.42,33.3333
20.44,38
20.46,34.6667
20.48,28
20.5,28.6667
20.52,25.3333
20.54,18
20.56,14
20.58,12.6667
20.6,12
20.62,10
20.64,10
20.66,13.3333
20.68,12
20.7,8.66667
20.72,10.6667
20.74,10.6667
20.76,10.6667
20.78,12.6667
20.8,12.6667
20.82,14.6667
20.84,14
20.86,8.66667
20.88,8
20.9,10
20.92,11.3333
20.94,12
20.96,14
20.98,12
21,9.33333
21.02,12
21.04,13.3333
21.06,11.3333
21.08,11.3333
21.1,14
21.12,18
21.14,20.6667
21.16,20.6667
21.18,21.3333
21.2,24
21.22,33.3333
21.24,42
21.26,44.6667
21.28,44.6667
21.3,60
21.32,78
21.34,89.3333
21.36,113.333
21.38,138.667
21.4,174.667
21.42,208
21.44,220
21.46,240.667
21.48,253.333
21.5,244.667
21.52,208
21.54,162.667
21.56,122
21.58,82.6667
21.6,57.3333
21.62,38
21.64,29.3333
21.66,26
21.68,25.3333
21.7,23.3333
21.72,21.3333
21.74,22.6667
21.76,22
21.78,18
21.8,16.6667
21.82,14
21.84,14.6667
21.86,17.3333
21.88,13.3333
21.9,11.3333
21.92,14
21.94,10.6667
21.96,13.3333
21.98,14.6667
22,11.3333
22.02,8.66667
22.04,11.3333
22.06,10.6667
22.08,10
22.1,10
22.12,10.6667
22.14,11.3333
22.16,12.6667
22.18,10
22.2,11.3333
22.22,8
22.24,7.33333
22.26,11.3333
22.28,10
22.3,6
22.32,6
22.34,10
22.36,10.6667
22.38,11.3333
22.4,8.66667
22.42,11.3333
22.44,11.3333
22.46,8.66667
22.48,9.33333
22.5,10.6667
22.52,10
22.54,8.66667
22.56,14
22.58,16
22.6,10.6667
22.62,8
22.64,10
22.66,7.33333
22.68,8
22.7,11.3333
22.72,5.33333
22.74,6
22.76,8
22.78,5.33333
22.8,8.66667
22.82,14
22.84,8
22.86,6.66667
22.88,6.66667
22.9,8.66667
22.92,8.66667
22.94,9.33333
22.96,8
22.98,7.33333
23,9.33333
23.02,6.66667
23.04,4.66667
23.06,8
23.08,8.66667
23.1,6.66667
23.12,4.66667
23.14,4.66667
23.16,6
23.18,6.66667
23.2,4.66667
23.22,5.33333
23.24,10.6667
23.26,8.66667
23.28,8
23.3,11.3333
23.32,10
23.34,8.66667
23.36,9.33333
23.38,7.33333
23.4,9.33333
23.42,5.33333
23.44,3.33333
23.46,7.33333
23.48,8
23.5,6
23.52,9.33333
23.54,6
23.56,4
23.58,5.33333
23.6,4.66667
23.62,6.66667
23.64,6.66667
23.66,6
23.68,6.66667
23.7,6
23.72,7.33333
23.74,5.33333
23.76,5.33333
23.78,8
23.8,10
23.82,11.3333
23.84,13.3333
23.86,7.33333
23.88,8
23.9,8.66667
23.92,9.33333
23.94,7.33333
23.96,10
23.98,6
24,6.66667
24.02,8
24.04,11.3333
24.06,11.3333
24.08,8
24.1,11.3333
24.12,10
24.14,8.66667
24.16,10.6667
24.18,14.6667
24.2,11.3333
24.22,10.6667
24.24,10.6667
24.26,12.6667
24.28,10.6667
24.3,20
24.32,16
24.34,18.6667
24.36,26.6667
24.38,18
24.4,24.6667
24.42,25.3333
24.44,28
24.46,32
24.48,32
24.5,43.3333
24.52,74.6667
24.54,81.3333
24.56,102
24.58,135.333
24.6,178.667
24.62,199.333
24.64,264
24.66,318
24.68,361.333
24.7,388
24.72,424.667
24.74,393.333
24.76,333.333
24.78,267.333
24.8,179.333
24.82,145.333
24.84,92.6667
24.86,48
24.88,40
24.9,33.3333
24.92,23.3333
24.94,23.3333
24.96,24.6667
24.98,20
25,20.6667
25.02,20
25.04,14.6667
25.06,25.3333
25.08,13.3333
25.1,12
25.12,14
25.14,10.6667
25.16,15.3333
25.18,12.6667
25.2,6.66667
25.22,12
25.24,13.3333
25.26,14.6667
25.28,14
25.3,7.33333
25.32,9.33333
25.34,14.6667
25.36,10.6667
25.38,11.3333
25.4,12
25.42,10.6667
25.44,12
25.46,8
25.48,10
25.5,10
25.52,11.3333
25.54,9.33333
25.56,10.6667
25.58,6
25.6,12.6667
25.62,12.6667
25.64,14
25.66,11.3333
25.68,12
25.7,10
25.72,14.6667
25.74,21.3333
25.76,19.3333
25.78,22.6667
25.8,28
25.82,32.6667
25.84,33.3333
25.86,36.6667
25.88,42.6667
25.9,34.6667
25.92,39.3333
25.94,42
25.96,28
25.98,23.3333
26,22.6667
26.02,18
26.04,16
26.06,10.6667
26.08,8
26.1,7.33333
26.12,10
26.14,8.66667
26.16,9.33333
26.18,14
26.2,15.3333
26.22,11.3333
26.24,13.3333
26.26,9.33333
26.28,8
26.3,9.33333
26.32,16.6667
26.34,13.3333
26.36,15.3333
26.38,22.6667
26.4,26.6667
26.42,32
26.44,36
26.46,42.6667
26.48,43.3333
26.5,58.6667
26.52,82
26.54,95.3333
26.56,100.667
26.58,114.667
26.6,138
26.62,139.333
26.64,128.667
26.66,126
26.68,100
26.7,92.6667
26.72,60.6667
26.74,59.3333
26.76,33.3333
26.78,17.3333
26.8,19.3333
26.82,21.3333
26.84,19.3333
26.86,18
26.88,14
26.9,13.3333
26.92,13.3333
26.94,16
26.96,12.6667
26.98,14
27,12
27.02,14
27.04,9.33333
27.06,10
27.08,11.3333
27.1,10.6667
27.12,12.6667
27.14,10
27.16,11.3333
27.18,8.66667
27.2,12.6667
27.22,14
27.24,18
27.26,20
27.28,18
27.3,26
27.32,25.3333
27.34,40
27.36,39.3333
27.38,50.6667
27.4,54.6667
27.42,62.6667
27.44,68.6667
27.46,69.3333
27.48,58
27.5,59.3333
27.52,45.3333
27.54,26
27.56,22
27.58,21.3333
27.6,8
27.62,16.6667
27.64,13.3333
27.66,13.3333
27.68,13.3333
27.7,10
27.72,10
27.74,14.6667
27.76,10.6667
27.78,12
27.8,10.6667
27.82,7.33333
27.84,6.66667
27.86,11.3333
27.88,9.33333
27.9,6
27.92,12
27.94,8
27.96,14.6667
27.98,8
28,10.6667
28.02,10
28.04,10
28.06,11.3333
28.08,4
28.1,6
28.12,8.66667
28.14,6.66667
28.16,5.33333
28.18,6.66667
28.2,4.66667
28.22,7.33333
28.24,9.33333
28.26,2.66667
28.28,12
28.3,10
28.32,9.33333
28.34,7.33333
28.36,12.6667
28.38,10
28.4,8.66667
28.42,9.33333
28.44,3.33333
28.46,10.6667
28.48,8.66667
28.5,7.33333
28.52,8
28.54,5.33333
28.56,13.3333
28.58,10.6667
28.6,8
28.62,12
28.64,8.66667
28.66,10
28.68,12
28.7,12.6667
28.72,14
28.74,10.6667
28.76,20
28.78,17.3333
28.8,15.3333
28.82,22.6667
28.84,22
28.86,16
28.88,8
28.9,14
28.92,17.3333
28.94,10.6667
28.96,12
28.98,11.3333
29,13.3333
29.02,9.33333
29.04,11.3333
29.06,10.6667
29.08,9.33333
29.1,8
29.12,10
29.14,14
29.16,17.3333
29.18,16.6667
29.2,16
29.22,8.66667
29.24,13.3333
29.26,22.6667
29.28,29.3333
29.3,40
29.32,40.6667
29.34,52.6667
29.36,62
29.38,84.6667
29.4,94
29.42,110.667
29.44,94
29.46,101.333
29.48,80.6667
29.5,66.6667
29.52,60.6667
29.54,48
29.56,37.3333
29.58,22
29.6,17.3333
29.62,13.3333
29.64,14
29.66,11.3333
29.68,8.66667
29.7,8
29.72,7.33333
29.74,8.66667
29.76,12
29.78,11.3333
29.8,9.33333
29.82,10
29.84,4.66667
29.86,12
29.88,16
29.9,10.6667
29.92,11.3333
29.94,6.66667
29.96,5.33333
29.98,9.33333
30,7.33333
30.02,8
30.04,9.33333
30.06,8.66667
30.08,10
30.1,8
30.12,8.66667
30.14,8.66667
30.16,10
30.18,8.66667
30.2,12
30.22,12
30.24,9.33333
30.26,8.66667
30.28,10.6667
30.3,9.33333
30.32,8.66667
30.34,10.6667
30.36,12.6667
30.38,12
30.4,8.66667
30.42,9.33333
30.44,11.3333
30.46,8.66667
30.48,9.33333
30.5,8.66667
30.52,7.33333
30.54,8
30.56,6.66667
30.58,8.66667
30.6,8
30.62,8
30.64,6.66667
30.66,9.33333
30.68,8
30.7,8
30.72,6.66667
30.74,5.33333
30.76,10
30.78,6.66667
30.8,6
30.82,8.66667
30.84,7.33333
30.86,8
30.88,6.66667
30.9,4.66667
30.92,4
30.94,8
30.96,10
30.98,8.66667
31,7.33333
31.02,6
31.04,8.66667
31.06,6
31.08,8.66667
31.1,10
31.12,10.6667
31.14,8
31.16,8
31.18,7.33333
31.2,9.33333
31.22,7.33333
31.24,7.33333
31.26,9.33333
31.28,11.3333
31.3,9.33333
31.32,8
31.34,12.6667
31.36,12.6667
31.38,14.6667
31.4,14.6667
31.42,14.6667
31.44,17.3333
31.46,14
31.48,18.6667
31.5,17.3333
31.52,21.3333
31.54,22.6667
31.56,32
31.58,39.3333
31.6,49.3333
31.62,56.6667
31.64,67.3333
31.66,68.6667
31.68,81.3333
31.7,80.6667
31.72,76
31.74,74.6667
31.76,62
31.78,56.6667
31.8,51.3333
31.82,48
31.84,52
31.86,53.3333
31.88,64
31.9,78.6667
31.92,116.667
31.94,166
31.96,210.667
31.98,272.667
32,342.667
32.02,414.667
32.04,455.333
32.06,489.333
32.08,462
32.1,410
32.12,351.333
32.14,270.667
32.16,222
32.18,173.333
32.2,116
32.22,82
32.24,54.6667
32.26,34
32.28,29.3333
32.3,27.3333
32.32,26.6667
32.34,24
32.36,21.3333
32.38,23.3333
32.4,18
32.42,16
32.44,17.3333
32.46,14.6667
32.48,9.33333
32.5,6.66667
32.52,8
32.54,12
32.56,11.3333
32.58,11.3333
32.6,11.3333
32.62,10
32.64,11.3333
32.66,11.3333
32.68,10.6667
32.7,8.66667
32.72,10.6667
32.74,10
32.76,10.6667
32.78,9.33333
32.8,6.66667
32.82,4.66667
32.84,6
32.86,9.33333
32.88,6.66667
32.9,9.33333
32.92,14
32.94,12
32.96,12
32.98,11.3333
33,8
33.02,10.6667
33.04,10
33.06,8.66667
33.08,10
33.1,12
33.12,12
33.14,10.6667
33.16,8.66667
33.18,11.3333
33.2,10.6667
33.22,14
33.24,14
33.26,11.3333
33.28,10.6667
33.3,10
33.32,11.3333
33.34,11.3333
33.36,10
33.38,10
33.4,14.6667
33.42,18
33.44,22.6667
33.46,30.6667
33.48,36.6667
33.5,42
33.52,49.3333
33.54,52
33.56,53.3333
33.58,63.3333
33.6,67.3333
33.62,57.3333
33.64,49.3333
33.66,43.3333
33.68,36.6667
33.7,31.3333
33.72,24
33.74,19.3333
33.76,22.6667
33.78,20.6667
33.8,17.3333
33.82,15.3333
33.84,14.6667
33.86,18
33.88,18
33.9,22
33.92,24
33.94,24
33.96,40
33.98,52.6667
