2theta,Intensity
18.16,18
18.18,22
18.2,19.3333
18.22,14.6667
18.24,13.3333
18.26,18
18.28,16
18.3,14
18.32,11.3333
18.34,14
18.36,13.3333
18.38,14
18.4,12
18.42,12.6667
18.44,16
18.46,16
18.48,15.3333
18.5,10
18.52,18
18.54,18.6667
18.56,20.6667
18.58,19.3333
18.6,22.6667
18.62,24.6667
18.64,24.6667
18.66,22
18.68,31.3333
18.7,34.6667
18.72,40
18.74,48.6667
18.76,54.6667
18.78,73.3333
18.8,94
18.82,112
18.84,130
18.86,158.667
18.88,184.667
18.9,206.667
18.92,224
18.94,222.667
18.96,232.667
18.98,224
19,210.667
19.02,188.667
19.04,158.667
19.06,160.667
19.08,170.667
19.1,174
19.12,188.667
19.14,174
19.16,151.333
19.18,124
19.2,104.667
19.22,88
19.24,81.3333
19.26,74.6667
19.28,77.3333
19.3,80.6667
19.32,72.6667
19.34,74
19.36,80
19.38,70.6667
19.4,54.6667
19.42,57.3333
19.44,54.6667
19.46,41.3333
19.48,40
19.5,38.6667
19.52,32
19.54,30
19.56,28.6667
19.58,28
19.6,26.6667
19.62,24.6667
19.64,27.3333
19.66,26.6667
19.68,25.3333
19.7,22
19.72,20
19.74,24
19.76,21.3333
19.78,21.3333
19.8,20.6667
19.82,19.3333
19.84,18.6667
19.86,18
19.88,20
19.9,22
19.92,20
19.94,16.6667
19.96,17.3333
19.98,17.3333
20,18.6667
20.02,21.3333
20.04,18.6667
20.06,16.6667
20.08,16.6667
20.1,16
20.12,17.3333
20.14,20
20.16,21.3333
20.18,23.3333
20.2,26.6667
20.22,22
20.24,20
20.26,24.6667
20.28,27.3333
20.3,28
20.32,24.6667
20.34,21.3333
20.36,26
20.38,22
20.4,18
20.42,20
20.44,20
20.46,19.3333
20.48,14
20.5,12
20.52,18
20.54,16.6667
20.56,14.6667
20.58,15.3333
20.6,16
20.62,18.6667
20.64,16.6667
20.66,16.6667
20.68,20.6667
20.7,18
20.72,15.3333
20.74,18.6667
20.76,20
20.78,18.6667
20.8,14
20.82,14.6667
20.84,17.3333
20.86,14.6667
20.88,15.3333
20.9,20
20.92,22
20.94,24.6667
20.96,27.3333
20.98,22
21,21.3333
21.02,22
21.04,29.3333
21.06,41.3333
21.08,42.6667
21.1,50
21.12,54
21.14,54.6667
21.16,59.3333
21.18,66
21.2,72.6667
21.22,69.3333
21.24,73.3333
21.26,78.6667
21.28,72.6667
21.3,64.6667
21.32,57.3333
21.34,45.3333
21.36,40
21.38,37.3333
21.4,36.6667
21.42,32
21.44,23.3333
21.46,22
21.48,24
21.5,22.6667
21.52,18
21.54,16.6667
21.56,16.6667
21.58,16.6667
21.6,18
21.62,18.6667
21.64,16
21.66,17.3333
21.68,16
21.7,14
21.72,14.6667
21.74,15.3333
21.76,15.3333
21.78,15.3333
21.8,16.6667
21.82,18
21.84,19.3333
21.86,17.3333
21.88,16.6667
21.9,13.3333
21.92,11.3333
21.94,9.33333
21.96,11.3333
21.98,11.3333
22,14
22.02,13.3333
22.04,10.6667
22.06,12.6667
22.08,10.6667
22.1,11.3333
22.12,12
22.14,14.6667
22.16,16.6667
22.18,12.6667
22.2,14
22.22,13.3333
22.24,10.6667
22.26,16
